state_num,pew_bornagain,commonweight,state,state_name,population_total,year
26,2,0.421795510863727,MI,MICHIGAN,10034113,2022
45,2,0.468475226240652,SC,SOUTH CAROLINA,5282634,2022
48,1,4.93048803628218,TX,TEXAS,30029572,2022
48,2,0.868584665862581,TX,TEXAS,30029572,2022
21,2,0.717268128241655,KY,KENTUCKY,4512310,2022
29,1,0.232787239245365,MO,MISSOURI,6177957,2022
34,2,0.22083794260026,NJ,NEW JERSEY,9261699,2022
39,1,0.358258075925993,OH,OHIO,11756058,2022
05,2,0.0742866696561131,AR,ARKANSAS,3045637,2022
12,2,1.04427306065156,FL,FLORIDA,22244823,2022
12,2,0.303123444278973,FL,FLORIDA,22244823,2022
26,2,0.646540759922664,MI,MICHIGAN,10034113,2022
48,1,0.227070695397093,TX,TEXAS,30029572,2022
42,2,0.78655283689455,PA,PENNSYLVANIA,12972008,2022
01,1,0.213192645304473,AL,ALABAMA,5074296,2022
12,2,1.20428014726337,FL,FLORIDA,22244823,2022
40,2,0.247988875625286,OK,OKLAHOMA,4019800,2022
40,2,1.34490956397845,OK,OKLAHOMA,4019800,2022
26,1,0.23255037894846,MI,MICHIGAN,10034113,2022
13,1,0.233438273677493,GA,GEORGIA,10912876,2022
26,2,1.31613080759801,MI,MICHIGAN,10034113,2022
47,2,0.180059705406266,TN,TENNESSEE,7051339,2022
29,2,0.343202571682601,MO,MISSOURI,6177957,2022
13,2,1.43218189036784,GA,GEORGIA,10912876,2022
36,1,3.95184655082609,NY,NEW YORK,19677151,2022
22,2,0.248162882364803,LA,LOUISIANA,4590241,2022
24,2,0.489568062995591,MD,MARYLAND,6164660,2022
24,2,2.58305986571563,MD,MARYLAND,6164660,2022
04,2,0.981339087373778,AZ,ARIZONA,7359197,2022
13,2,0.965793938084962,GA,GEORGIA,10912876,2022
12,2,5.53716082247477,FL,FLORIDA,22244823,2022
12,1,0.359233128624486,FL,FLORIDA,22244823,2022
36,1,0.360810914903019,NY,NEW YORK,19677151,2022
12,1,1.98570795916702,FL,FLORIDA,22244823,2022
17,2,0.62577838458843,IL,ILLINOIS,12582032,2022
23,2,0.730037811095429,ME,MAINE,1385340,2022
20,2,0.495729736708341,KS,KANSAS,2937150,2022
08,1,0.586978264082868,CO,COLORADO,5839926,2022
20,2,0.67696270174021,KS,KANSAS,2937150,2022
42,1,0.931545062940375,PA,PENNSYLVANIA,12972008,2022
36,1,0.187192354664088,NY,NEW YORK,19677151,2022
08,2,1.22488646616824,CO,COLORADO,5839926,2022
48,2,0.188676340007919,TX,TEXAS,30029572,2022
26,2,0.911510947516346,MI,MICHIGAN,10034113,2022
12,2,0.424516458009615,FL,FLORIDA,22244823,2022
45,1,2.57249467332635,SC,SOUTH CAROLINA,5282634,2022
37,2,0.148770375027903,NC,NORTH CAROLINA,10698973,2022
47,1,2.36319407939244,TN,TENNESSEE,7051339,2022
34,2,6.55432755353239,NJ,NEW JERSEY,9261699,2022
27,2,0.26131339614593,MN,MINNESOTA,5717184,2022
45,1,2.22296386133645,SC,SOUTH CAROLINA,5282634,2022
17,1,2.03509283659756,IL,ILLINOIS,12582032,2022
37,2,1.09702357212027,NC,NORTH CAROLINA,10698973,2022
51,2,2.73715341002313,VA,VIRGINIA,8683619,2022
06,1,0.209439124290386,CA,CALIFORNIA,39029342,2022
12,2,0.590450219508914,FL,FLORIDA,22244823,2022
17,1,0.170419749244735,IL,ILLINOIS,12582032,2022
51,1,0.217732393162479,VA,VIRGINIA,8683619,2022
17,2,0.799136664162885,IL,ILLINOIS,12582032,2022
54,2,5.4754604320053,WV,WEST VIRGINIA,1775156,2022
04,2,2.37697325058006,AZ,ARIZONA,7359197,2022
13,2,1.06916584800106,GA,GEORGIA,10912876,2022
36,2,1.84015344692772,NY,NEW YORK,19677151,2022
42,2,1.30161158457421,PA,PENNSYLVANIA,12972008,2022
21,2,0.316867146062734,KY,KENTUCKY,4512310,2022
08,1,2.6152837290267,CO,COLORADO,5839926,2022
12,2,0.283105282440293,FL,FLORIDA,22244823,2022
42,1,2.5832431170386,PA,PENNSYLVANIA,12972008,2022
18,1,4.50368329655963,IN,INDIANA,6833037,2022
48,2,0.136410041112478,TX,TEXAS,30029572,2022
26,2,0.486846476479639,MI,MICHIGAN,10034113,2022
26,2,1.25540998469898,MI,MICHIGAN,10034113,2022
47,1,0.580391059292061,TN,TENNESSEE,7051339,2022
06,1,0.169732644672632,CA,CALIFORNIA,39029342,2022
04,1,0.131605314790582,AZ,ARIZONA,7359197,2022
06,2,0.881815932433382,CA,CALIFORNIA,39029342,2022
29,2,1.1101690534977,MO,MISSOURI,6177957,2022
12,2,1.25411098335582,FL,FLORIDA,22244823,2022
48,2,1.74550312792485,TX,TEXAS,30029572,2022
34,2,0.619045008278019,NJ,NEW JERSEY,9261699,2022
37,1,0.478787836482029,NC,NORTH CAROLINA,10698973,2022
26,2,1.50719073350592,MI,MICHIGAN,10034113,2022
12,2,0.528414452088303,FL,FLORIDA,22244823,2022
36,2,3.61978933470068,NY,NEW YORK,19677151,2022
12,2,0.606438073233438,FL,FLORIDA,22244823,2022
22,1,0.424801074167844,LA,LOUISIANA,4590241,2022
21,2,0.924809970377272,KY,KENTUCKY,4512310,2022
29,2,0.144537720287003,MO,MISSOURI,6177957,2022
13,2,0.81440336813379,GA,GEORGIA,10912876,2022
09,2,2.37461970898018,CT,CONNECTICUT,3626205,2022
05,2,0.0413988209516746,AR,ARKANSAS,3045637,2022
39,2,3.79077817945865,OH,OHIO,11756058,2022
55,2,0.666343354821101,WI,WISCONSIN,5892539,2022
42,2,1.099968321347,PA,PENNSYLVANIA,12972008,2022
37,2,0.686174281299595,NC,NORTH CAROLINA,10698973,2022
42,2,0.599600438888987,PA,PENNSYLVANIA,12972008,2022
