state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
WISCONSIN,4942176,397847,370335,2915029,2017,WI,5790186,0.0639590852521836,0.853543564921749,0.068710573373636,0.503443067286612,0.496556932713388
WYOMING,528414,58122,5766,283536,2017,WY,578931,0.00995973613435798,0.912740896583531,0.100395383905854,0.489757846790032,0.510242153209968
ALABAMA,3306838,211485,1307040,2518600,2018,AL,4887681,0.267415160686632,0.676565839710079,0.0432689858442071,0.515295494939216,0.484704505060785
ALASKA,474555,53069,25197,354486,2018,AK,735139,0.0342751506857887,0.645530981215797,0.0721890690059975,0.482202685478529,0.517797314521471
ARIZONA,5590505,2266342,336340,3606517,2018,AZ,7158024,0.0469878279256957,0.781012329659694,0.316615591118443,0.50384254090235,0.49615745909765
ARKANSAS,2306096,230300,456714,1537145,2018,AR,3009733,0.151745686411386,0.766212816884421,0.0765184154209028,0.510724705480519,0.489275294519481
CALIFORNIA,23535388,15540142,2283850,19883492,2018,CA,39461588,0.0578752684762712,0.59641259241772,0.39380427366481,0.503869535103352,0.496130464896648
COLORADO,4790677,1235127,237578,2830803,2018,CO,5691287,0.0417441608550052,0.841756354933427,0.217020684425157,0.497392417567415,0.502607582432585
CONNECTICUT,2688136,589810,391552,1832132,2018,CT,3571520,0.109631753427112,0.752658811934415,0.165142572350148,0.512983827614013,0.487016172385987
DELAWARE,659781,91975,217594,499247,2018,DE,965479,0.225374140711502,0.683371673542356,0.0952635945473697,0.517097730763694,0.482902269236307
FLORIDA,15899574,5562452,3410741,10894649,2018,FL,21244317,0.160548395130801,0.748415399751378,0.261832470302528,0.512826512615115,0.487173487384885
GEORGIA,6127645,1021754,3319691,5399185,2018,GA,10511131,0.31582624172413,0.582967237303008,0.0972068562364982,0.513663562941038,0.486336437058962
HAWAII,345652,151356,28325,709789,2018,HI,1420593,0.0199388565197773,0.2433152915719,0.106544238919944,0.499642754821402,0.500357245178598
IDAHO,1576846,222464,12075,872050,2018,ID,1750536,0.00689788727566871,0.900778961415246,0.127083361896014,0.498161705900364,0.501838294099636
ILLINOIS,9135145,2208868,1793079,6475018,2018,IL,12723071,0.140931305028479,0.717998429781615,0.173611229552991,0.508919426764183,0.491080573235817
