state_fips,state_name,state_num,state,state_icpsr,unified,party_control,year
25,Massachusetts,21,MA,3,1,DEM,2023
26,Michigan,22,MI,23,1,DEM,2023
27,Minnesota,23,MN,33,1,DEM,2023
28,Mississippi,24,MS,46,1,REP,2023
29,Missouri,25,MO,34,1,REP,2023
30,Montana,26,MT,64,1,REP,2023
31,Nebraska,27,NE,35,NA,NA,2023
32,Nevada,28,NV,65,0,DIV,2023
33,New Hampshire,29,NH,4,1,REP,2023
34,New Jersey,30,NJ,12,1,DEM,2023
35,New Mexico,31,NM,66,1,DEM,2023
36,New York,32,NY,13,1,DEM,2023
37,North Carolina,33,NC,47,0,DIV,2023
38,North Dakota,34,ND,36,1,REP,2023
39,Ohio,35,OH,24,1,REP,2023
40,Oklahoma,36,OK,53,1,REP,2023
41,Oregon,37,OR,72,1,DEM,2023
42,Pennsylvania,38,PA,14,0,DIV,2023
44,Rhode Island,39,RI,5,1,DEM,2023
45,South Carolina,40,SC,48,1,REP,2023
46,South Dakota,41,SD,37,1,REP,2023
47,Tennessee,42,TN,54,1,REP,2023
48,Texas,43,TX,49,1,REP,2023
49,Utah,44,UT,67,1,REP,2023
50,Vermont,45,VT,6,0,DIV,2023
51,Virginia,46,VA,40,0,DIV,2023
53,Washington,47,WA,73,1,DEM,2023
54,West Virginia,48,WV,56,1,REP,2023
55,Wisconsin,49,WI,25,0,DIV,2023
56,Wyoming,50,WY,68,1,REP,2023
