state_name,year,population_total
TEXAS,1998,19760000
UTAH,1998,2100000
VERMONT,1998,591000
VIRGINIA,1998,6791000
WASHINGTON,1998,5689000
WEST VIRGINIA,1998,1811000
WISCONSIN,1998,5224000
WYOMING,1998,481000
ALABAMA,1999,4369862
ALASKA,1999,619500
ARIZONA,1999,4778332
ARKANSAS,1999,2551373
CALIFORNIA,1999,33145121
COLORADO,1999,4056133
CONNECTICUT,1999,3282031
DELAWARE,1999,753538
FLORIDA,1999,15111244
GEORGIA,1999,7788240
HAWAII,1999,1185497
IDAHO,1999,1251700
ILLINOIS,1999,12128370
INDIANA,1999,5942901
IOWA,1999,2869413
KANSAS,1999,2654052
KENTUCKY,1999,3960825
LOUISIANA,1999,4372035
MAINE,1999,1253040
MARYLAND,1999,5171634
MASSACHUSETTS,1999,6175169
MICHIGAN,1999,9863775
MINNESOTA,1999,4775508
MISSISSIPPI,1999,2768619
MISSOURI,1999,5468338
MONTANA,1999,882779
NEBRASKA,1999,1666028
NEVADA,1999,1809253
NEW HAMPSHIRE,1999,1201134
NEW JERSEY,1999,8143412
NEW MEXICO,1999,1739844
NEW YORK,1999,18196601
NORTH CAROLINA,1999,7650789
NORTH DAKOTA,1999,633666
OHIO,1999,11256654
OKLAHOMA,1999,3358044
OREGON,1999,3316154
PENNSYLVANIA,1999,11994016
RHODE ISLAND,1999,990819
SOUTH CAROLINA,1999,3885736
SOUTH DAKOTA,1999,733133
TENNESSEE,1999,5483535
TEXAS,1999,20044141
UTAH,1999,2129836
VERMONT,1999,593740
VIRGINIA,1999,6872912
WASHINGTON,1999,5756361
WEST VIRGINIA,1999,1806928
WISCONSIN,1999,5250446
WYOMING,1999,479602
ALABAMA,2000,4447100
ALASKA,2000,626932
ARIZONA,2000,5130632
ARKANSAS,2000,2673400
CALIFORNIA,2000,33871648
COLORADO,2000,4301261
CONNECTICUT,2000,3405565
DELAWARE,2000,783600
FLORIDA,2000,15982378
GEORGIA,2000,8186453
HAWAII,2000,1211537
IDAHO,2000,1293953
ILLINOIS,2000,12419293
INDIANA,2000,6080485
IOWA,2000,2926324
KANSAS,2000,2688418
KENTUCKY,2000,4041769
LOUISIANA,2000,4468976
MAINE,2000,1274923
MARYLAND,2000,5296486
MASSACHUSETTS,2000,6349097
MICHIGAN,2000,9938444
MINNESOTA,2000,4919479
MISSISSIPPI,2000,2844658
MISSOURI,2000,5595211
MONTANA,2000,902195
NEBRASKA,2000,1711263
NEVADA,2000,1998257
NEW HAMPSHIRE,2000,1235786
NEW JERSEY,2000,8414350
NEW MEXICO,2000,1819046
NEW YORK,2000,18976457
NORTH CAROLINA,2000,8049313
NORTH DAKOTA,2000,642200
OHIO,2000,11353140
OKLAHOMA,2000,3450654
OREGON,2000,3421399
PENNSYLVANIA,2000,12281054
RHODE ISLAND,2000,1048319
SOUTH CAROLINA,2000,4012012
SOUTH DAKOTA,2000,754844
TENNESSEE,2000,5689283
TEXAS,2000,20851820
UTAH,2000,2233169
VERMONT,2000,608827
VIRGINIA,2000,7078515
WASHINGTON,2000,5894121
WEST VIRGINIA,2000,1808344
WISCONSIN,2000,5363675
WYOMING,2000,493782
ALABAMA,2001,4468912
ALASKA,2001,633630
ARIZONA,2001,5306966
ARKANSAS,2001,2694698
CALIFORNIA,2001,34600463
COLORADO,2001,4430989
CONNECTICUT,2001,3434602
DELAWARE,2001,796599
FLORIDA,2001,16373330
GEORGIA,2001,8405677
HAWAII,2001,1227024
IDAHO,2001,1320585
ILLINOIS,2001,12520227
INDIANA,2001,6126743
IOWA,2001,2931967
KANSAS,2001,2702125
KENTUCKY,2001,4068816
LOUISIANA,2001,4470368
MAINE,2001,1284470
MARYLAND,2001,5386079
MASSACHUSETTS,2001,6401164
MICHIGAN,2001,10006266
MINNESOTA,2001,4984535
MISSISSIPPI,2001,2859733
MISSOURI,2001,5637309
MONTANA,2001,905382
NEBRASKA,2001,1720039
NEVADA,2001,2097722
NEW HAMPSHIRE,2001,1259359
NEW JERSEY,2001,8511116
NEW MEXICO,2001,1830935
NEW YORK,2001,19084350
NORTH CAROLINA,2001,8206105
NORTH DAKOTA,2001,636550
OHIO,2001,11389785
OKLAHOMA,2001,3469577
OREGON,2001,3473441
PENNSYLVANIA,2001,12303104
RHODE ISLAND,2001,1059659
SOUTH CAROLINA,2001,4062125
SOUTH DAKOTA,2001,758324
TENNESSEE,2001,5749398
TEXAS,2001,21370983
UTAH,2001,2278712
VERMONT,2001,612978
VIRGINIA,2001,7196750
WASHINGTON,2001,5993390
WEST VIRGINIA,2001,1800975
WISCONSIN,2001,5405947
WYOMING,2001,493754
ALABAMA,2002,4478896
ALASKA,2002,641482
ARIZONA,2002,5441125
ARKANSAS,2002,2706268
CALIFORNIA,2002,35001986
COLORADO,2002,4501051
CONNECTICUT,2002,3458587
DELAWARE,2002,805945
FLORIDA,2002,16691701
GEORGIA,2002,8544005
HAWAII,2002,1240663
IDAHO,2002,1343124
ILLINOIS,2002,12586447
INDIANA,2002,6156913
IOWA,2002,2935840
KANSAS,2002,2711769
KENTUCKY,2002,4089822
LOUISIANA,2002,4476192
MAINE,2002,1294894
MARYLAND,2002,5450525
MASSACHUSETTS,2002,6421800
MICHIGAN,2002,10043221
MINNESOTA,2002,5024791
MISSISSIPPI,2002,2866733
MISSOURI,2002,5669544
MONTANA,2002,910372
NEBRASKA,2002,1727564
NEVADA,2002,2167455
NEW HAMPSHIRE,2002,1274405
NEW JERSEY,2002,8575252
NEW MEXICO,2002,1852044
NEW YORK,2002,19134293
NORTH CAROLINA,2002,8305820
NORTH DAKOTA,2002,633911
OHIO,2002,11408699
OKLAHOMA,2002,3489700
OREGON,2002,3520355
PENNSYLVANIA,2002,12328827
RHODE ISLAND,2002,1068326
SOUTH CAROLINA,2002,4103770
SOUTH DAKOTA,2002,760437
TENNESSEE,2002,5789796
TEXAS,2002,21736925
UTAH,2002,2318789
VERMONT,2002,616408
VIRGINIA,2002,7287829
WASHINGTON,2002,6067060
WEST VIRGINIA,2002,1804884
WISCONSIN,2002,5439692
WYOMING,2002,498830
ALABAMA,2003,4503726
ALASKA,2003,648280
ARIZONA,2003,5579222
ARKANSAS,2003,2727774
CALIFORNIA,2003,35462712
COLORADO,2003,4547633
CONNECTICUT,2003,3486960
DELAWARE,2003,818166
